R000580,95.1,34,491,2.8,9,45,8.6
R000581,91.1,47,458,2.5,9,25,5.0
R000582,96.2,46,867,3.6,7,35,3.8
R000583,94.0,33,519,1.5,7,39,7.1
R000584,87.6,25,506,1.3,7,8,1.5
R000585,91.9,90,536,2.3,6,61,9.7
R000586,93.9,34,439,0.7,5,39,8.2
R000587,92.3,28,766,1.8,5,29,3.7
R000588,92.9,37,459,8.7,5,30,6.0
R000589,93.1,19,380,0.6,5,18,4.5
R000590,92.2,7,175,1.8,5,18,9.9
R000591,94.5,10,295,0.7,5,26,8.5
R000592,94.9,20,636,4.5,5,31,4.7
R000593,95.3,47,778,0.9,5,41,5.0
R000594,90.2,27,309,3.3,5,29,8.6
R000595,85.7,77,531,17.3,5,20,3.3
R000597,93.9,6,211,1.6,3,15,6.9
R000598,95.5,15,349,0.2,3,18,4.9
R000599,88.1,27,420,5.0,3,25,5.6
R000600,N/A,8,44,N/A,1,2,3.8
R000601,94.9,6,107,0.4,1,4,3.5
R000602,93.6,4,220,2.7,1,8,3.6
R000603,96.6,8,192,0.1,1,3,1.5
R000604,94.8,4,87,1.1,1,2,2.2
R000605,92.4,11,95,0.0,1,2,1.9
S000018,92.7,62,410,2.2,21,20,4.2
S000030,94.2,19,429,12.2,19,36,8.0
S000033,N/A,119,521,N/A,25,7,1.1
S000051,85.7,7,100,2.0,21,5,4.7
S000148,96.7,226,727,1.1,35,25,2.6
S000185,95.6,59,615,0.9,23,33,4.9
S000244,89.4,84,436,0.5,37,32,6.2
S000248,95.2,47,636,1.6,27,43,6.3
S000250,96.3,32,636,1.3,19,48,7.2
S000320,88.0,16,104,1.9,37,5,4.2
S000344,95.2,17,519,0.8,19,48,9.0
S000364,93.0,27,394,3.6,19,31,7.4
S000480,95.3,38,1028,14.9,29,47,4.4
